PartID,FormFactor,StorageBays,Color,SidePanel,Size,PSU
c53a852c-0f4d-4e05-b6b2-59664ee0d27d,MicroATX Mini Tower,2,Black,Tempered Glass,,
199475f1-f4bf-4507-94e6-d534314d7da1,MicroATX Mini Tower,5,Black,,21.9,
836ce62e-a067-426c-ab1b-c3b8b08b501c,ATX Mid Tower,3,Black,Tempered Glass,54.1,
c5f39629-c3b2-45ca-92d6-663db3066d45,ATX Mid Tower,2,Black,,45.8,
e31ed3ae-e60c-4f1a-9a70-ddd8e21ae4d4,ATX Mid Tower,4,Black,Tempered Glass,47.3,
da4efd68-9948-4fb6-832b-c634add37de0,ATX Mid Tower,2,White,Tempered Glass,55.8,
74d64db7-28b0-433c-a0a3-92242d3d4cd3,ATX Mid Tower,2,Pink,Tempered Glass,41.3,
405ca57a-045c-487a-9aac-53fd4c81e336,ATX Mid Tower,2,White,Acrylic,42.2,
03d2e792-1ec8-4c3f-858b-a834b7e4d1e1,ATX Full Tower,12,Gray / Black,Tempered Glass,,
95dffbfc-d938-4883-a574-5df8d8f5db34,ATX Mid Tower,2,Black,,69.8,
b33eb367-ed1d-4c58-ae98-fdcf4e90af2e,ATX Full Tower,6,White,Tempered Glass,81.8,
b316b3c2-feae-4c13-955d-338ee73665a1,ATX Mid Tower,4,Black / Gray,Tempered Glass,75.5,
81f4f721-eac3-43ca-984e-a7d389c254da,ATX Mid Tower,2,Black,Tempered Glass,,
b25b6186-f5e1-4036-8d69-a2fd3d7b1315,ATX Mid Tower,2,Black,Tempered Glass,45.8,
80730713-40db-4c63-84ec-18d6cc17e1b9,ATX Mid Tower,2,Black,Tempered Glass,41.3,
11e4fd0e-436c-4cec-bc25-cdbc89e96999,ATX Full Tower,2,Black,Tempered Glass,94.5,
a9d91a24-d084-4170-8486-cb20cb178eec,ATX Mid Tower,2,Black,Tempered Glass,45.9,
9086802c-12e2-4268-aafa-c34554554ece,ATX Mid Tower,2,Black,Tempered Glass,,
6070938c-5474-44dc-99b7-8658b81bc95f,ATX Mid Tower,2,Black,Tempered Glass,43.9,
a849c85e-d02b-43e6-bcd5-0e3eb19e343e,MicroATX Mid Tower,2,Black,Tempered Glass,,
9de72a3c-00ba-461d-b678-f93f8f82bcbf,ATX Mid Tower,1,Black,,46.7,
61cad509-d937-4d6c-b61c-1a0212bef8b1,Mini ITX Tower,2,Black,Tempered Glass,45.1,
0824d143-ffea-4e12-9446-de95619ae8b5,ATX Mid Tower,2,Black,Tempered Glass,61.8,
e13c27af-ccc3-4e30-a83a-c0869d6d9dce,ATX Mini Tower,0,Gray,Mesh,14.9,
574a1b16-028d-453b-811f-3292bfbdf830,Mini ITX Tower,1,Black,Tempered Glass,27.3,
1c2e58fb-578b-4226-be4b-41f3cf12dea9,ATX Mid Tower,2,Black,Tempered Glass,,
090567dc-0afa-4128-80ae-9fd3a1ac9e28,MicroATX Mid Tower,2,Black,,25.8,
d6e88849-2df8-43c8-ab49-9c0449b2f23d,ATX Mid Tower,2,White / Black,Tempered Glass,40.6,
165ffddf-1c79-4ba4-b17e-2c33c216e3ea,Mini ITX Tower,1,Black,Mesh,,700.0
4e60177b-8aa8-43f6-86cf-992e248e2596,ATX Mid Tower,4,White,Tempered Glass,,
7ce55bf7-dc32-4a39-8340-313e4d196545,MicroATX Mid Tower,2,Black,,36.5,
6847d4fd-6291-46c3-9a15-19e7b22c8f6e,ATX Mid Tower,2,Black,,42.3,
7066fe20-9666-40c5-9e7f-e31478160e4e,MicroATX Mini Tower,2,Black,Tempered Glass,,
c2a618c4-e0f3-43a2-bf80-3dd7cc6b6d39,Mini ITX Tower,1,Black,Tinted Tempered Glass,34.6,
c8758744-e246-4c0d-adc2-0cc1aff2e3a7,ATX Mid Tower,2,White,Tempered Glass,39.7,
900eb81f-bd2e-4112-9a50-392d91abeeaf,ATX Mid Tower,2,Black,Tempered Glass,41.3,
e1b18234-48b6-4365-b501-17e456b089de,ATX Mid Tower,2,Black,Tempered Glass,,
9688dd12-f849-430a-b3b2-3a94e0be2c4e,ATX Mid Tower,2,White,Tempered Glass,38.2,
2a1d866b-6b20-4f6e-a61f-4606da4a1ba8,ATX Mid Tower,3,Black,Tempered Glass,54.1,
40f67abc-01d1-4ac2-b8d4-30b571a820c7,ATX Mid Tower,2,White / Gray,Tempered Glass,,
c912b1c3-125f-4c09-883b-e7aff7a274ee,ATX Full Tower,6,Black,,82.0,
c3f08642-11e9-4e47-98d3-2cc50c66c755,Mini ITX Tower,0,White,Mesh,14.7,
67a933da-0f7d-4150-a4ea-23c0657bfb89,ATX Mid Tower,2,Black,Tempered Glass,80.7,
1e63afba-5627-42eb-a019-61fd69bc9732,ATX Full Tower,2,Black,Tempered Glass,62.7,
3fa17e53-8896-4bdd-82f8-886ae68f81c4,ATX Mid Tower,3,Black,,42.8,
a3196509-c64e-4535-a23e-f771aedaf8c3,MicroATX Mini Tower,3,White,Tempered Glass,33.0,
fd48dac7-150c-4ff5-b42b-a056ea392abf,ATX Mid Tower,2,Black,Tempered Glass,49.5,
e386a68e-4b6e-4c4a-9233-cdde541226a5,ATX Full Tower,12,Black,Tempered Glass,,
4e4affaf-2424-48ea-bb16-6b9dc53b4154,Mini ITX Desktop,0,White,Tempered Glass,14.5,
f183cd46-e077-4eb1-9ac8-9d01658aec35,ATX Mid Tower,1,Black,Tinted Tempered Glass,46.7,
6a257f85-7e2c-49b4-895e-6f5981db269d,ATX Mid Tower,2,White,Tempered Glass,,
1b3daf58-66c9-4eea-b182-7c92d3442d0a,ATX Mid Tower,3,Black,Tempered Glass,54.1,
4e994f02-ef8a-46b2-b265-df7696a75d57,ATX Mid Tower,4,Black,,,
ca821179-f7ed-4649-991f-bbfa58bdb6f1,Mini ITX Tower,2,Black,Tempered Glass,,
f672293d-1708-40da-a8bb-a167d2bff987,MicroATX Mid Tower,2,Black,Tempered Glass,,
b39aa91f-6c6a-45c5-a038-0bbf21c0080a,ATX Mid Tower,2,White,Tempered Glass,48.3,
8ea20f30-8991-4fab-b2ce-cc21bef4208b,ATX Mid Tower,2,Black,Tempered Glass,39.5,
47e83aff-304d-4708-95a2-1dddb2f23842,ATX Mid Tower,3,Black,Tempered Glass,83.8,
40c33fc0-c37c-46f0-a5ea-3976ce8ff545,ATX Full Tower,15,Black,Tempered Glass,86.7,
ac4d3a98-cfed-4961-8eec-605e7f12f829,MicroATX Mini Tower,2,White,Tempered Glass,33.8,
99e467cd-e129-4c23-b814-14838e8a9b52,ATX Mid Tower,2,Black,Tempered Glass,,
e19e717d-d613-493f-b0b2-3c75d28bf20b,MicroATX Mini Tower,2,Black,Acrylic,36.4,
236ec217-934e-4f2c-bdb4-8160d93151a5,ATX Mid Tower,2,White,Tempered Glass,41.3,
ab0716ba-8feb-4535-80f9-8f99b9b2cee1,ATX Mid Tower,2,White,Tempered Glass,69.8,
55a78f43-12ab-469c-b5d4-d04b1ff4510a,ATX Mid Tower,2,Black,Acrylic,,
261dd76e-13e8-45de-a5ca-efe8b8ff0b3e,ATX Mid Tower,2,Red / Black,Tempered Glass,,
5aea40ac-ef71-4b89-b8b4-02139cc63e68,ATX Full Tower,6,White / Black,Tempered Glass,81.8,
3c035479-60cd-449f-9c80-f4e765247b77,ATX Mid Tower,2,White / Black,Tempered Glass,39.2,
8e28825c-b648-4c21-994a-f1cbf32a16b2,ATX Mid Tower,2,Black,Tempered Glass,36.4,
cfa82a0c-28c9-49f8-8295-517a01da58cc,ATX Mid Tower,2,Black,Tempered Glass,36.8,
695bba9c-31c4-47bb-8c9e-36b852fa5b23,Mini ITX Tower,1,Black,Tinted Tempered Glass,,
