PartID,Cores,BoostClock,CoreClock,Graphics,SMT,TDP,Socket,ChipsetID
6624dfca-116e-416d-9bd8-18549156d42a,8,5.0,3.6,Intel UHD Graphics 630,True,95,FCLGA1151,248
e90f3951-f14e-439a-8b9d-56b732f00855,4,,3.5,Intel HD Graphics 3000,True,95,,389
3b54e5fa-4cf0-455a-9fd1-c20f4b2aa2ae,6,4.6,3.2,Intel UHD Graphics 630,True,65,FCLGA1151,277
e7fc38be-b006-4782-b64d-5036099ce5fc,4,3.3,3.1,Intel HD Graphics 4600,False,84,FCLGA1150,390
91a03501-f1d7-4125-a659-5379932bc5bb,6,4.6,2.7,Intel UHD Graphics 750,True,65,FCLGA1200,391
1fd55999-7412-402c-b6cb-5fa1c4a698c3,2,,3.1,Intel HD Graphics 2000,True,65,,392
9d5975ff-126f-4b65-93b1-6453233a1994,6,4.4,3.0,Intel UHD Graphics 630,False,65,FCLGA1151,393
b993417a-3655-4aa9-b751-049612fc7aa8,6,4.0,2.8,Intel UHD Graphics 630,False,65,FCLGA1151,276
88c5d832-6a21-47d4-8b50-c084dc809a64,8,5.0,3.1,Intel UHD Graphics 630,True,65,FCLGA1151,394
ce44f1a1-b78c-4639-9c2c-8662213d0e24,8,5.2,2.5,Intel UHD Graphics 750,True,65,FCLGA1200,395
1ee3c118-27b9-43ac-9284-77c9e411db46,4,3.3,2.8,Intel HD Graphics 4600,False,65,FCLGA1150,396
a76ef683-8bd5-428c-9716-f28dfe31fd8b,8,4.5,3.6,,True,140,FCLGA2066,397
f35574f2-bcc9-41ff-958b-13c8bf2103cb,8,4.0,3.8,,True,180,sTR4,398
a0585c9e-f6be-4a0e-83b2-0f31e46c7e2a,2,,3.2,Intel UHD Graphics 610,False,54,FCLGA1151,399
0c92f055-76f5-4030-a12d-38270c79d19d,2,,3.4,Intel HD Graphics 4400,True,54,FCLGA1150,400
95692606-7458-4d5a-9306-f87ce03bce6d,2,,3.2,Radeon Vega 3,True,35,AM4,401
c9d51513-238e-4190-a1f1-2b282909a312,8,5.0,4.7,,False,220,,402
c24bc503-3c50-4c80-b15a-11fd7194f01d,6,4.0,3.5,,True,140,FCLGA2066,403
aaa2f0fd-ae50-41d7-8045-8802fc44efde,6,4.3,3.1,Intel UHD Graphics 630,False,65,FCLGA1151,404
e901dc60-8071-4542-b1d9-c2f4400cb55e,8,4.3,4.0,,False,125,,405
5d478ab9-31bd-403f-b49f-684a45e2a195,14,3.3,2.4,,True,120,,406
8ecc6aba-1c3a-4c44-aad3-335f94a8c675,6,3.9,3.4,,True,130,FCLGA2011,407
7fa6d48c-4da6-4587-895b-ba9d49ef86ca,4,3.4,3.1,,False,65,,408
9cde0b45-6f64-4b61-b9c0-c73d2e51073b,4,4.2,3.6,Intel HD Graphics 630,True,65,FCLGA1151,287
e8f97ad1-beb8-442f-a481-2f024d5bf639,6,4.8,3.3,Intel UHD Graphics 630,True,65,FCLGA1200,409
4b09adfd-b320-4926-b323-3c48c3b5b1ed,2,,2.7,,False,65,,410
f0af0486-990a-43bf-bd79-a716c4e597ad,2,,3.3,Intel HD Graphics 2000,True,65,,411
78be8d4f-8cb4-4202-a4fa-06d6d2661c8c,12,4.8,3.5,,True,165,FCLGA2066,412
d550390c-ad1e-4081-a77e-1bfefbb8bd5c,24,4.2,3.0,,True,250,sTR4,413
8a462a6b-aeb3-4c81-9ef4-6eb59a5d0b1c,2,,3.3,Intel HD Graphics 510,False,54,,414
a432ad2a-a1c8-4554-b7b8-bd0224048cc8,4,4.5,4.3,,True,112,FCLGA2066,415
3e33568a-d9bd-4eb8-99eb-6bc7897b4179,8,,3.3,,False,95,,416
7d782ada-2fae-480b-8921-9f9adc8d6fcc,4,4.0,3.4,Intel HD Graphics 530,True,65,FCLGA1151,289
89cf7e70-c76e-4540-a790-53417606907d,6,,3.9,,False,125,,417
5a70a3a8-63c9-491c-be0f-05e4dfa245a8,14,3.2,2.0,,True,105,,418
b681ae47-5877-4f59-9bba-f47c0c96e0dc,2,,2.4,,False,65,,419
