PartID,Price,Manufacturer,Model
5d62204e-6609-4e0d-a644-44f554c6e215,1299.0,AMD,Threadripper 2970WX
3fe9a88d-248e-4925-9515-d43d2ef44110,45.0,Intel,Pentium G4400
3833b4ee-0272-4ac0-bde4-e036ee79d76f,389.95,Intel,Core i7-7740X
625cdfa5-f16d-4de4-99f4-010fa53bf34c,100.0,AMD,FX-8300
0d20d66d-4886-41ac-b048-1f5655fd00b8,204.68,Intel,Core i7-6700
90337b59-cbb5-4bfd-bb2f-0c786ae36a53,100.0,AMD,FX-6350
67e54df3-1672-4ba3-a03d-d4c6663e981c,225.37,Intel,Xeon E5-2660 V4
50813cc6-571d-41ac-ae77-76c263b1a35c,19.98,Intel,Pentium E2220
393dbfa4-08e1-44bf-b817-1479e7021494,135.86,Intel,Core i5-4670
4fd9d2b3-a563-41b2-9f66-b8f78cea9fb3,29.99,Intel,Core i3-550
3ec94b91-9580-48e8-b05e-70212d643def,79.95,Intel,Pentium Gold G5400
e6b3cd64-877f-46de-883e-6e469223eaf9,175.0,Intel,Core i5-9600
bdae663f-6590-4d1c-85fb-20ec58e4aeb9,185.0,Intel,Core i3-8350K
09dd27fa-5a11-4370-a586-1a91ba828a68,302.0,Intel,Core i7-6950X
07bb00bc-3913-48f3-ab27-e3e8f567a00a,219.74,Intel,Xeon E5-2690 V4
2562ca5f-74bb-42e6-852d-99ce371f4ffb,60.0,Intel,Celeron G4900
8c381b19-580b-481b-8520-fcf93e4c6cfe,120.04,Intel,Core i7-4820K
8646556f-5055-4d5b-81df-af209f1fe882,30.0,Intel,Pentium G640
571bbd76-7662-44ed-b0e4-852071712322,90.0,Intel,Core i7-920
258226d0-2295-4f7d-8fd1-c591a870897b,52.55,Intel,Core 2 Quad Q9550
ffc35674-6003-48ff-a10d-d532c29854a8,125.97,Intel,Core i3-8100
051e8fa2-abd6-4b83-ab92-f7eb43bf856b,554.41,Intel,Core i9-7920X
4c885b80-5784-4a04-a2f4-bfa66c50c56b,489.95,Intel,Core i7-7700T
9c438565-7bf8-4ff2-98c9-353825cdb9de,298.52,Intel,Core i7-9700
c83c7a66-b7ee-46a6-b15c-c860cd48d906,35.0,Intel,Core i3-4330
