PartID,Socket,FormFactor,MaxMemory,MemorySlots,Color
acef134b-5d7d-42a9-9029-1f9e5f14950a,LGA1700,1,64,2,Black / Silver
f48f3607-0761-4739-9e45-e929f9a48f2b,LGA1200,1,128,4,Silver / Black
53fd8620-a47b-4893-805b-df7c46c23dff,AM4,0,64,4,Black / Silver
b661cb81-b9a5-4294-a6a1-466af9c359a1,LGA1700,1,64,2,Black / Gray
178c0898-4d22-49ee-be51-856ee63ff99e,AM5,0,192,4,Black
8edc5098-2762-4b1d-8c7e-75aa377ec553,LGA1700,1,192,4,Black / Silver
9b3f0a66-0614-4453-8ac3-bc289c12253a,LGA1700,0,128,4,Black
74b60568-2d97-4f98-a186-fceb929d1241,AM5,3,192,4,Black
208081fc-959e-4536-82ea-24eb7940f09d,LGA1700,0,128,4,Black / Silver
8fe48900-5776-42cb-82b4-a6c02e2b4620,AM5,1,192,4,Brown / Gray
7039cb74-a51f-4e67-a436-fbfca6715b79,LGA1700,0,192,4,Silver / Black
4082ea04-6452-41ec-8c47-c67e966014df,LGA1700,1,192,4,Black / Blue
f2d5ec63-e3d2-48c8-9c1e-e4d98a2e971c,LGA1700,0,192,4,Black / Silver
af49efdb-1b85-43a2-b729-d6d4089de49a,LGA1700,0,192,4,Black / Orange
fb4b8c56-872c-45b9-9aea-8c85a18056c1,LGA1700,0,128,4,Black / White
d7d51e69-f266-4e91-b674-5dae8e7684c8,AM4,0,128,4,Black
a9afb55b-9e29-43ed-858d-423b7584ddaf,AM5,0,192,4,Silver / Black
e74c20ef-58f6-41fe-9b49-70d1520076a3,LGA1700,2,64,2,Silver / Black
2da71cca-7173-4486-9126-a80ee0b01efd,LGA1700,0,128,4,Yellow / Black
37ee9b19-f33d-4826-87db-fb32b45ec2dc,LGA1700,0,128,4,Black / Silver
3ece7832-9a1d-411f-8191-25d9e8174573,AM5,3,192,4,Black / White
baec9d1f-ebf4-4923-9971-b8eb877f6ad8,LGA1700,0,128,4,Black
a9088a73-4e26-4432-9823-42946eb94897,AM5,3,192,4,Black
91280513-55a9-44f7-93ed-714fc7378f21,LGA1151,0,128,4,Black / Silver
28a91643-aabd-4c5c-b9dd-035db2f51fb2,LGA1700,0,128,4,Silver / Black
c30fa33f-8195-4cda-82b9-5dd10c6f3ec1,AM4,2,64,2,Black / Silver
349172f6-bf0b-43cc-a928-7a5a0e5920a9,LGA1200,0,128,4,Black
a42ae901-70bf-4d56-b6c8-6561b6c8baa8,AM4,0,128,4,Black
d89ae965-1708-4ff9-b2ea-41b08a9414e5,LGA1700,1,64,2,Silver / Black
87297abd-eec4-4740-bb97-d392e5171625,LGA1700,0,192,4,Black / White
f67c518e-0eec-4a7c-bdd7-47f780979185,AM5,0,192,4,Black / Silver
5e4ad1e0-51a9-4844-a304-af77d23ef877,AM4,0,128,4,Black
2d0c5b38-e6fa-4e47-8f92-2b05fe4009a4,AM4,1,64,2,Black
9d8f0d99-80cd-42fa-941e-2e6c76dc7537,LGA1700,1,192,4,Black
06ebd55c-8e2a-4e69-99a7-f8eac607e4d0,LGA1700,0,128,4,Black / Silver
00c8f367-0086-477d-8406-9fda2d2f8171,AM4,0,64,4,Black / Silver
917ac656-22e8-452f-8598-102c512bb2a3,LGA1700,0,128,4,Black / Silver
677530f6-f0c2-4792-8a02-a2d68c9e9c7b,AM5,1,192,4,Black / Orange
0fcfdd14-e31e-419b-b91a-469f20ed9dd0,LGA1700,2,96,2,Black / Silver
2e887338-58b6-4936-bf8b-a3d7952fee2d,AM4,1,128,4,Black / White
8d1616b5-3a95-4626-8584-dbfd3f5cee8c,AM4,0,128,4,Black
f1286933-b08c-4650-9b8c-8d3f89d1d1ff,LGA1700,0,128,4,Silver / Black
2a612567-b58c-41e3-ba96-1c861de0964b,LGA1700,0,192,4,Silver / Black
584a13f0-b9ab-4861-bace-8efa4b55b995,AM4,2,64,2,Black
b877c830-e002-4b59-a0ad-e5e6ba38b596,LGA1700,0,128,4,Silver / Black
c72f8f23-2b2a-4a28-aa48-2dd4c77387a0,LGA1700,2,64,2,Silver / Black
2015e9ea-e123-42a5-961e-4aa2c24375dd,AM4,1,128,4,Black
81bb09f6-9450-4976-96c7-a691cef7f5b5,AM4,1,128,4,Black / Silver
23bc821a-007d-478e-b51e-7bf4b6343c7b,LGA1700,0,192,4,Black
7f6a0fe1-db1d-4c83-b22d-79280658a9ae,AM5,0,192,4,Silver / Black
c5f29262-3350-4d07-b1eb-ebebd52531c5,LGA1151,0,64,4,Black / White
6dff54e1-e03d-4eca-8a01-39ee688211fe,AM4,1,64,2,Black
ca67596a-775e-4634-b04a-92d1d8a91b68,LGA1700,1,128,4,Silver / Black
f01deeff-d356-4f72-85df-e90ef16f8c5d,AM4,1,128,4,Black
5a73c958-beb8-4976-b096-4cc5555e82a8,LGA1200,1,64,2,Black
7ada3f6b-d364-4893-bee7-8dacd32af47f,AM5,1,96,2,Gray / Black
b228aeca-ccac-4ff3-a886-e624df68f693,AM4,0,64,4,Black / Silver
bb0754a3-0be4-4eb7-b2c6-b7c481854c32,AM4,0,128,4,Black / Silver
037023bd-0f30-4ad9-aa16-ca0821a845cb,LGA1700,1,192,4,Silver / Black
4f9fc886-2a90-4b3e-b09d-0cfad910e23e,LGA1700,2,64,2,Silver / Black
6349ee65-cf74-4ee0-a0ba-7acff83d9beb,AM4,1,64,4,Black
9d297713-d434-476b-9455-d862f179d966,AM4,0,128,4,Black / White
4160ac85-410f-4f79-a535-5ff1bc9f68b5,LGA1700,1,192,4,Black / Orange
2674e52a-6afe-46bf-b120-cd2b760752b8,AM4,0,128,4,Black / Silver
02cde20f-796e-48ea-a22f-62da25dee79f,AM4,0,128,4,Black / Silver
c4952c64-08f3-4273-b1a0-5d1a59fcbbda,LGA1700,1,128,4,Black / Silver
45fa9d46-91bd-4208-ab63-dbd079352529,AM4,1,128,4,Black
1b781815-c4f9-4226-a7a9-308388ed1992,LGA1700,1,128,4,Black
1c4dc666-3e83-47db-b7c0-4af66af60ce7,AM4,0,128,4,Black / Orange
60bcc773-4c0b-47ec-9914-9520664ba781,LGA1700,0,128,4,Black / Silver
fbcbea04-1a0f-4b37-8038-85d2062126a8,LGA1700,2,64,2,Black
81732a1d-06ed-4cb8-b674-9185d83eb4e7,LGA1151,2,32,2,Black / Silver
7a385340-24a2-468e-a7bd-0359d661fc4d,LGA1700,0,128,4,Black / Silver
b9334f02-f247-4d14-ba30-1cb00f59b753,LGA1200,1,64,2,Silver / Black
08f8862e-edc4-4faa-b612-71b1060dbc20,AM5,0,192,4,Black
f4e6b993-b2ff-4969-8776-9600fd7b1eba,LGA1700,0,192,4,Silver / Black
a5a6070b-9ca2-40a8-8f86-828b1d97b0bd,AM4,1,128,4,Black
8ab9964e-716e-40a9-8b1f-1c63fd44f5b0,AM4,0,128,4,Black / Silver
b76e6e82-51b4-418b-91a7-6d1237790f96,LGA1200,0,128,4,Black / Silver
c94dd450-0da4-4fb8-83a7-2ad481f4dbf1,LGA1700,0,128,4,Black / Gray
d2084260-0abb-4bd5-89c9-4d550abcadbc,AM4,0,128,4,Black
fe4945b5-5fd6-48ae-b148-e5e0eee38518,LGA1200,0,128,4,Black / White
0cfbc172-e2d9-46a7-8d5e-a3a88f8f1aa4,LGA1700,1,64,2,Gray / Black
0e74a3a5-e132-40a1-98aa-59150a489794,LGA1700,2,64,2,Black / Gray
05a90166-f8b1-4c60-b858-987cab2764dc,LGA1151,0,64,4,Black / White
50547737-0dc1-41e7-b6e1-0ecdb542410a,LGA1700,0,192,4,Silver / Black
e4acd2f0-128f-4384-ad57-3a6703d73d31,LGA1700,1,192,4,Blue / Silver
7cdbd98d-6df6-478b-b5e0-f898b94443c0,LGA1700,0,192,4,Black / Silver
b1fbb87f-faf6-45a9-a8c8-133d5d738c83,LGA1700,0,128,4,Black / Silver
b273c2d9-0e5f-4508-b657-e412c8f4f20b,LGA1700,0,192,4,Black / Silver
1c83b0aa-8966-440a-ab09-b3cedcbf98eb,LGA1700,0,192,4,Silver / Black
77033009-3e63-44e3-9bc2-f4c1a601d305,AM4,1,64,2,Black / Silver
5050d80a-7884-4091-81f2-f2de71595dfe,LGA1700,1,128,4,Silver / Black
9a2861e0-8d82-4175-9c91-9b870b6511c1,AM4,0,128,4,Black
1c79b81a-90b1-4d13-8147-4a88f039a752,LGA1151,1,32,2,Black / Gold
3797ea5c-4319-4dbc-a219-d8d32ec1b15e,AM5,0,192,4,Black / Silver
