PartID,CoreClock,BoostClock,Memory,Chipset,Length,Color,TDP,ChipsetID
04b8c52e-4f45-4e30-b31f-8c957fd3437e,1830.0,2460.0,8.0,GeForce RTX 4060,210.0,Black,,15
ea2f3ea6-886b-4bc0-abc4-39cfd852f7cc,1575.0,1815.0,8.0,GeForce RTX 3070 Ti,300.0,Black / Silver,290.0,21
7f338627-1f7c-4817-bf2b-64236906366b,1830.0,2475.0,8.0,GeForce RTX 4060,222.0,Black,,15
8dea84ab-79fc-40c3-b89c-b7eb0b81e2d3,1690.0,1945.0,8.0,Radeon RX 5700 XT,287.0,Black / Red,225.0,49
b413a76f-1572-4914-8f3c-abf9c48a6472,2235.0,2550.0,24.0,GeForce RTX 4090,358.0,Black,,8
a89fb914-3175-4fc3-8439-4d5360d7b8e0,2235.0,,24.0,GeForce RTX 4090,358.0,Black,,8
b80e54e2-6a75-4a91-9988-feaeae01bf0a,2310.0,2640.0,12.0,GeForce RTX 4070 Ti,300.0,White / Silver,,4
e1e8e42d-4028-45c2-a48e-289c2625f4b6,1830.0,2610.0,8.0,GeForce RTX 4060,247.0,Black,,15
97e05b26-fb4d-4848-9c0d-fc9013539682,1500.0,1845.0,8.0,GeForce RTX 3070,300.0,Black,220.0,25
ec994c7d-6da4-4926-865c-d01a18b02b3d,2300.0,2680.0,24.0,Radeon RX 7900 XTX,345.0,Black,,9
d916a738-0912-48db-971d-919aed99c742,2055.0,2669.0,8.0,Radeon RX 6650 XT,303.0,White,,14
816ca233-acb7-4fa6-9859-4e3c452a1f88,2310.0,2625.0,16.0,GeForce RTX 4060 Ti,308.0,Silver / Black,,13
cce40c96-b29e-4b4f-808b-ab6ceb60ee76,1925.0,2340.0,16.0,Radeon RX 6900 XT,330.0,Black / Silver,300.0,36
0725c515-93a1-4c15-89fc-90b1804e3a97,2230.0,2520.0,24.0,GeForce RTX 4090,332.0,Black,,8
3dc4f7bf-dd6c-4471-a5d0-68222d8a5970,2100.0,,16.0,Arc A770,305.0,Black,,38
2545ceab-3cd8-4f76-ae38-2f9388b0a6b0,1830.0,,8.0,GeForce RTX 4060,281.0,Black,,15
084cf920-7b33-4339-8666-329e74cec204,1410.0,1665.0,8.0,GeForce RTX 3060 Ti LHR,247.0,Black,,30
d4a63e11-c22a-4c11-889b-91b8a23c2046,1500.0,1755.0,8.0,GeForce RTX 3070 LHR,232.0,Black,,27
d7d9518f-29df-4290-9f82-515ebd3c241d,1295.0,,16.0,Radeon RX 7800 XT,320.0,Black,,50
46b20836-936d-4cef-ae4e-c94257b80c16,1365.0,1695.0,12.0,GeForce RTX 3080 Ti,300.0,Black,350.0,37
cc670d75-c09c-46a6-9850-c52718d7050c,2310.0,2535.0,8.0,GeForce RTX 4060 Ti,226.0,Black,,13
